19-10-2025 12:32:29 | TRACE | Task: 001_InicializarVariables | Desc: Se inicializan las rutas del robot.
19-10-2025 12:32:29 | TRACE | Task: 001_InicializarVariables | Desc: Se leen los datos parametrizados en el archivo: D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Process/config/Config.xlsx y se inicializan las variables del proceso.
19-10-2025 12:32:29 | INFO | Task: 001_InicializarVariables | Desc: Resoluci贸n inicial: (1920, 1080)
19-10-2025 12:32:29 | TRACE | Task: 001_InicializarVariables | Desc: Se deja lista la plantilla del reporte.
19-10-2025 12:32:32 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Se va a descargar el archivo base de la ruta //10.238.99.5/temporales/ROCKETBOT/Copia de Inusmo busqueda masiva - UT Ticenergi.xlsx
19-10-2025 12:32:52 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Se va a descargar exitosamente el archivo base en D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Input/Inusmo busqueda masiva - UT Ticenergi.xlsx
19-10-2025 12:32:52 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Comienza el proceso de extraccion de informacion del archivo base.
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: Filtrado por documento_cruce: de 31,048 a 3,579 filas.
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: Archivo leido exitosamente: D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Input/Inusmo busqueda masiva - UT Ticenergi.xlsx
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: Dimensiones del DataFrame: (3579, 7)
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: Columnas extraidas: ['empresa', 'tipo_docto', 'nro_docto', 'detalle', 'documento_cruce', 'fecha_procesamiento', 'estado_procesamiento']
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: RESUMEN DE DATOS:
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    Total de filas: 3,579
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    Total de columnas: 7
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: VALORES NULOS POR COLUMNA:
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    empresa: 0 (0.0%)
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    tipo_docto: 0 (0.0%)
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    nro_docto: 0 (0.0%)
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    detalle: 0 (0.0%)
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    documento_cruce: 0 (0.0%)
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    fecha_procesamiento: 0 (0.0%)
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    estado_procesamiento: 0 (0.0%)
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: ESTADISTICAS POR COLUMNA:
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    empresa: 1 valores unicos
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    tipo_docto: 10 valores unicos
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    nro_docto: 1,925 valores unicos
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    detalle: 1,504 valores unicos
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    documento_cruce: 468 valores unicos
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    fecha_procesamiento: 1 valores unicos
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    estado_procesamiento: 1 valores unicos
19-10-2025 12:33:01 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: PRIMERAS 5 FILAS:
     empresa tipo_docto nro_docto                                   detalle documento_cruce fecha_procesamiento estado_procesamiento
0  Ticenergi         DS       265  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-163                                Pendiente
1  Ticenergi         DS       407  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-195                                Pendiente
2  Ticenergi         DS       266  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-163                                Pendiente
3  Ticenergi         DS       126  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-162                                Pendiente
4  Ticenergi         DS       333  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-203                                Pendiente
19-10-2025 12:33:01 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Extracci贸n exitosa.
19-10-2025 12:33:12 | TRACE | Task: 017_ObtenerInformacionAProcesar | Desc: Se van a obtener los datos a trabajar del archivo de seguimiento.
19-10-2025 12:33:12 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: El archivo de seguimiento no existe, se crear谩 a partir del template: D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Process/templates/Template Archivo de Seguimiento.xlsx
19-10-2025 12:33:12 | ERROR | Task: 017_ObtenerInformacionAProcesar | Desc: El archivo template 'D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Process/templates/Template Archivo de Seguimiento.xlsx' no existe. No se puede crear el archivo de seguimiento.
19-10-2025 12:33:12 | TRACE | Task: 017_ObtenerInformacionAProcesar | Desc: Extraccion exitosa.
19-10-2025 12:33:12 | ERROR | Task: 017_ObtenerInformacionAProcesar | Desc: Ocurri贸 un error al cruzar informaci贸n con archivo de seguimiento. | Error: [Errno 2] No such file or directory: 'D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Input/Archivo de Seguimiento.xlsx'
19-10-2025 12:35:03 | TRACE | Task: 017_ObtenerInformacionAProcesar | Desc: Se van a obtener los datos a trabajar del archivo de seguimiento.
